-117.09,34.116,-15.189,16.558,0.523,0.496
-117.44,33.274,-27.121,27.931,0.604,0.562
-116.43,34.594,-6.496,7.152,0.272,0.393
-111.06,42.773,-0.249,-0.563,0.248,0.189
-115.16,37.358,-2.574,0.494,0.192,0.197
-123.49,48.39,6.547,4.376,0.457,0.73
-118.69,34.825,-15.864,17.183,0.254,0.21
-120.67,36.89,-8.54,10.51,1.161,0.312
-111.62,40.584,-0.224,0.134,0.175,0.176
-119.36,34.015,-29.116,32.776,0.192,0.69
-118.83,34.157,-27.453,29.839,0.313,0.288
-114.93,36.319,-2.397,0.923,0.198,0.194
-117.32,33.342,-26.287,27.229,0.214,0.242
-117.48,33.381,-26.325,27.552,0.22,0.239
-117.52,36.05,-6.61,6.831,0.191,0.193
-122.14,48.174,4.37,2.971,0.217,0.256
-120.18,45.708,1.638,1.846,0.205,0.194
-118.91,35.201,-14.879,10.749,0.337,0.897
-112.62,43.667,-1.106,-0.991,0.198,0.188
-121.37,43.821,0.372,4.07,0.197,0.209
-122.67,42.181,-1.558,6.868,0.256,0.196
-116.14,36.346,-2.632,1.346,0.419,0.383
-117.31,39.39,-3.565,1.396,0.183,0.191
-117.15,34.468,-12.564,13.33,0.352,0.249
-111.07,31.73,-1.301,0.979,0.371,0.372
-112.62,33.37,-1.71,0.541,0.225,0.252
-111.52,32.984,-1.18,0.895,0.37,0.474
-111.66,35.177,-1.369,0.441,0.162,0.178
-110.77,33.395,-1.36,0.997,0.491,0.509
-110.91,33.059,-1.077,0.658,0.505,0.232
-112.28,33.693,-1.149,0.932,0.234,0.319
-112.26,33.575,-0.738,1.295,0.386,0.717
-111.46,36.909,-1.228,-0.315,0.205,0.482
-112.46,34.609,-1.822,0.583,0.208,0.173
-116.63,33.54,-19.896,21.438,0.21,0.319
-109.71,32.802,-0.877,0.783,0.197,0.168
-111.24,34.265,-1.392,0.36,0.245,0.534
-111.94,33.446,-1.089,0.721,0.374,0.194
-117.9,34.126,-24.077,22.396,0.276,0.238
-111.62,33.481,-1.362,1.141,0.306,0.291
-110.77,31.954,-1.053,0.888,0.283,0.231
-112.66,33.859,-1.242,0.618,0.172,0.23
-118.9,37.783,-6.672,11.238,0.33,1.401
-125.14,48.835,9.766,6.639,0.262,0.211
-117.2,40.413,-2.833,0.936,0.188,0.193
-119.03,33.48,-29.619,33.391,0.24,0.188
-119.98,34.582,-29.2,31.232,0.574,0.26
-111.53,44.185,-1.072,-1.826,0.214,0.195
-116.88,34.264,-11.313,14.837,0.314,0.443
-126.84,50.544,2.512,3.379,0.249,0.267
-119.41,34.92,-21.599,21.065,0.187,0.196
-113.41,44.316,-0.435,-0.468,0.187,0.192
-117.35,48.987,1.58,0.383,0.211,0.238
-116.62,37.04,-2.808,1.42,0.188,0.186
-122.48,48.755,4.571,2.513,0.207,0.202
-116,34.001,-4.78,5.078,0.225,0.251
-121.32,44.057,0.74,3.409,0.182,0.185
-118.07,35.878,-8.58,10.187,0.225,0.204
-122.13,47.617,4.882,2.925,0.29,0.363
-118.16,33.967,-26.686,26.189,0.2,0.261
-118.99,47.933,2.536,0.731,0.598,0.371
-117.06,33.578,-23.617,24.646,0.202,0.352
-124.25,47.539,13.304,9.43,0.573,0.644
-116.08,35.287,-3.372,1.238,0.241,0.268
-118.09,33.962,-28.086,28.766,0.232,0.502
-119.11,35.133,-13.999,13.536,0.605,0.806
-109.56,42.767,0.046,0.394,0.279,0.33
-121.05,42.407,-2.563,4.243,0.183,0.187
-122.93,48.016,6.028,3.676,0.859,0.589
-114.71,33.61,-1.959,1.298,0.244,0.238
-116.05,34.251,-2.561,4.043,0.427,0.196
-116.98,33.963,-14.786,19.565,0.396,0.311
-115.73,33.365,-8.492,7.952,1.334,2.399
-118.28,34.185,-25.191,24.274,0.304,0.306
-119.68,48.131,1.969,0.966,0.189,0.188
-122.15,37.919,-14.846,16.715,0.487,0.547
-123.02,49.275,4.549,2.998,0.262,0.233
-118.58,34.682,-19.043,20.292,0.195,0.188
-112.53,44.74,-0.304,-0.533,0.307,0.267
-117.01,34.919,-7.921,10.248,0.263,0.222
-118.19,34.293,-23.816,22.669,0.206,0.19
-116.87,36.918,-2.999,1.838,0.192,0.186
-117.84,42.779,-1.471,1.215,0.298,0.325
-116.45,36.745,-2.754,1.367,0.187,0.186
-119.35,35.157,-16.755,14.74,0.18,0.176
-124.56,42.836,6.371,13.706,0.461,0.597
-115.99,33.655,-9.038,8.769,0.196,0.232
-120.43,35.939,-11.827,17.813,0.825,0.922
-120.43,35.888,-21.326,27.877,0.566,0.634
-117.4,33.455,-25.495,27.245,0.58,0.555
-110.68,39.191,-0.119,0.321,0.202,0.189
-118.48,33.446,-28.433,32.02,0.368,0.357
-118.33,33.312,-28.681,31.898,0.214,0.187
